Generation,Best_Fitness,Tumor_Score,Normal_Score,Heat_Score,Mutation_Rate
0,29.87,20.0,0.0,0.0,0.050
1,59.85,20.0,0.0,25.0,0.050
2,90.79,0.0,0.0,75.0,0.050
3,90.42,0.0,0.0,75.0,0.050
4,119.25,40.0,0.0,50.0,0.050
5,147.39,20.0,0.0,100.0,0.050
6,150.13,60.0,0.0,50.0,0.050
7,179.45,60.0,0.0,75.0,0.050
8,207.97,40.0,0.0,125.0,0.050
9,239.51,80.0,0.0,100.0,0.050
10,239.69,80.0,0.0,100.0,0.050
11,269.48,80.0,0.0,125.0,0.050
12,296.96,80.0,0.0,150.0,0.050
13,328.23,80.0,0.0,175.0,0.050
14,328.18,80.0,0.0,175.0,0.050
15,356.99,80.0,0.0,200.0,0.050
16,358.13,80.0,0.0,200.0,0.050
17,387.71,80.0,0.0,225.0,0.050
18,388.61,80.0,0.0,225.0,0.050
19,417.51,80.0,0.0,250.0,0.050
20,418.28,100.0,0.0,225.0,0.050
21,418.74,80.0,0.0,250.0,0.050
22,448.70,120.0,0.0,225.0,0.050
23,449.57,100.0,0.0,250.0,0.050
24,478.68,100.0,0.0,275.0,0.050
25,478.31,100.0,0.0,275.0,0.050
26,478.71,100.0,0.0,275.0,0.050
27,479.39,120.0,0.0,250.0,0.050
28,479.80,80.0,0.0,300.0,0.050
29,479.41,80.0,0.0,300.0,0.050
30,478.89,120.0,0.0,250.0,0.050
31,479.90,80.0,0.0,300.0,0.050
32,537.94,120.0,0.0,300.0,0.050
33,537.03,120.0,0.0,300.0,0.050
34,536.55,120.0,0.0,300.0,0.050
35,537.13,120.0,0.0,300.0,0.050
36,536.57,120.0,0.0,300.0,0.050
37,567.61,100.0,0.0,350.0,0.050
38,567.05,100.0,0.0,350.0,0.050
39,566.94,100.0,0.0,350.0,0.050
40,567.83,100.0,0.0,350.0,0.050
41,568.55,100.0,0.0,350.0,0.050
42,568.66,100.0,0.0,350.0,0.050
43,569.15,100.0,0.0,350.0,0.050
44,569.10,100.0,0.0,350.0,0.050
45,595.97,100.0,0.0,375.0,0.050
46,597.27,100.0,0.0,375.0,0.050
47,597.03,100.0,0.0,375.0,0.050
48,597.15,100.0,0.0,375.0,0.050
49,597.14,120.0,0.0,350.0,0.050
