Generation,Best_Fitness,Tumor_Score,Normal_Score,Heat_Score,Mutation_Rate
0,29.69,0.0,0.0,25.0,0.050
1,60.47,20.0,0.0,25.0,0.050
2,117.77,20.0,0.0,75.0,0.050
3,176.37,40.0,0.0,100.0,0.050
4,205.14,60.0,0.0,100.0,0.050
5,205.70,60.0,0.0,100.0,0.050
6,207.12,60.0,0.0,100.0,0.050
7,236.74,60.0,0.0,125.0,0.050
8,234.99,60.0,0.0,125.0,0.050
9,235.83,60.0,0.0,125.0,0.050
10,238.57,60.0,0.0,125.0,0.050
11,266.58,60.0,0.0,150.0,0.050
12,267.83,80.0,0.0,125.0,0.050
13,268.36,80.0,0.0,125.0,0.050
14,270.05,60.0,0.0,150.0,0.050
15,269.70,60.0,0.0,150.0,0.050
16,298.99,80.0,0.0,150.0,0.050
17,326.89,80.0,0.0,175.0,0.050
18,326.31,80.0,0.0,175.0,0.050
19,327.32,80.0,0.0,175.0,0.050
20,327.51,80.0,0.0,175.0,0.050
21,357.88,80.0,0.0,200.0,0.050
22,357.52,80.0,0.0,200.0,0.050
23,387.17,80.0,0.0,225.0,0.050
24,386.89,80.0,0.0,225.0,0.050
25,387.78,80.0,0.0,225.0,0.050
26,386.90,100.0,0.0,200.0,0.050
27,387.67,80.0,0.0,225.0,0.050
28,387.91,100.0,0.0,200.0,0.050
29,388.04,80.0,0.0,225.0,0.050
30,387.93,100.0,0.0,200.0,0.050
31,418.50,100.0,0.0,225.0,0.050
32,446.13,100.0,0.0,250.0,0.050
33,446.86,100.0,0.0,250.0,0.050
34,446.38,100.0,0.0,250.0,0.050
35,445.90,100.0,0.0,250.0,0.050
36,448.52,100.0,0.0,250.0,0.050
37,448.55,100.0,0.0,250.0,0.050
38,476.25,120.0,0.0,250.0,0.050
39,476.63,120.0,0.0,250.0,0.050
40,476.97,120.0,0.0,250.0,0.050
41,478.18,120.0,0.0,250.0,0.050
42,477.31,120.0,0.0,250.0,0.050
43,477.89,100.0,0.0,275.0,0.050
44,478.57,120.0,0.0,250.0,0.050
45,478.52,120.0,0.0,250.0,0.050
46,478.42,120.0,0.0,250.0,0.050
47,478.59,120.0,0.0,250.0,0.050
48,478.79,120.0,0.0,250.0,0.050
49,478.97,120.0,0.0,250.0,0.050
